Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
LICTYPE,License Type,F,F,F,F,F,GOVUNL,Government Unlimited Rights,
LICTYPE,License Type,F,F,F,F,F,PERSEAT,Per Seat,
LICTYPE,License Type,F,F,F,F,F,PERCPU,Per CPU,
LICTYPE,License Type,F,F,F,F,F,PERTRAN,Per Transaction,
LICTYPE,License Type,F,F,F,F,F,FEE,Fee for Service,
LICTYPE,License Type,F,F,F,F,F,UNKN,Unknown,
LICCLASS,License Classification,F,F,F,F,F,COTS,COTS,
LICCLASS,License Classification,F,F,F,F,F,FOSS,FOSS,
LICCLASS,License Classification,F,F,F,F,F,FOSSR,FOSS Restricted,
LICCLASS,License Classification,F,F,F,F,F,GOSS,GOSS,
LICCLASS,License Classification,F,F,F,F,F,GOTS,GOTS,
LICCLASS,License Classification,F,F,F,F,F,COTSUR,Unrestricted COTS,
FUNDED,Funded,F,F,F,F,F,Y,Yes,
FUNDED,Funded,F,F,F,F,F,Y,No,
SERPROTOCAL,Service Transport Protocal,F,F,F,F,T,SOAP,SOAP,
SERPROTOCAL,Service Transport Protocal,F,F,F,F,T,REST,REST,
SERPROTOCAL,Service Transport Protocal,F,F,F,F,T,XMLRPC,XMLRPC,
SERPROTOCAL,Service Transport Protocal,F,F,F,F,T,CUSTOM,CUSTOM,
SERPROTOCAL,Service Transport Protocal,F,F,F,F,T,OTH,Other,
SERFORMAT,Service Data Format,F,F,F,F,T,XML,XML,
SERFORMAT,Service Data Format,F,F,F,F,T,JSON,JSON,
SERFORMAT,Service Data Format,F,F,F,F,T,KML,KML,
SERFORMAT,Service Data Format,F,F,F,F,T,BINARY,BINARY,
SERFORMAT,Service Data Format,F,F,F,F,T,Other,Other,
DI2ELEVEL,DI2E Evaluation Level,F,T,T,T,F,NA,NA - No Evaluation Planned,"Planned Evaluation does not apply to DI2E Priorities, Focus Areas, Reference Architecture, Storefront (e.g. Guidebooks, reusable Contract Language, Lessons Learned, etc.). N/A indicates no evaluation is expected."
DI2ELEVEL,DI2E Evaluation Level,F,T,T,T,F,LEVEL0,Level 0 - Available for Reuse/Not Evaluated,Asset is added to the Storefront for reuse or consumption. Asset has not been evaluated for Enterprise readiness or Conformance. Asset will enter DI2E Clearinghouse Process to be assessed for potential reuse. Asset has completed the Component Prep and Analysis phase.
DI2ELEVEL,DI2E Evaluation Level,F,T,T,T,F,LEVEL1,Level 1 - Initial Reuse Analysis,"Inspection portion of DI2E Framework Evaluation Checklist complete. These questions focus mainly on the reuse potential (Visible, Accessible, and Understandable) by analysis of the information provided. This level does not represent the pass or fail, the Consumer must read the Evaluation Report."
DI2ELEVEL,DI2E Evaluation Level,F,T,T,T,F,LEVEL2,Level 2 - Integration and Test,"Integration and Test portion of the DI2E Framework Evaluation Checklist complete. These questions focus on the interoperability and ease of reuse, and will normally include an I&T plan. This level does not indicate a pass or fail of the conformance test. Consumer will read the Test Report linked in the storefront entry for program functionality."
DI2ELEVEL,DI2E Evaluation Level,F,T,T,T,F,LEVEL3,Level 3 - DI2E Framework Reference Implementation,"Asset has been determined to be reusable and interoperable, appropriately documented, and conformant to applicable DI2E Framework specifications and standards and is integrated into the DI2E Reference Ecosystem."
DI2ESTATE,DI2E State,F,T,T,T,F,NOTEVAL,Not evaluated ,Evaluation has not started
DI2ESTATE,DI2E State,F,T,T,T,F,DI2ECAN,DI2E Candidate,Component is considered as a potential reuse candidate but has not completed the DI2E Framework Evaluation Process.
DI2ESTATE,DI2E State,F,T,T,T,F,DI2ECOM,DI2E Component,Component has been through the DI2E Evaluation Process and determined to be reusable and interoperable
DI2ESTATE,DI2E State,F,T,T,T,F,NOTREUSE,Not DI2E Reusable,"Component was evaluated and determined to not support reusability, is not interoperable, or does not conform to DI2E standards and specifications"
DI2ESTATE,DI2E State,F,T,T,T,F,OBSOLETE,Obsolete,"Component has been retired, superseded, or is generally considered not reusable by DI2E"
DATAR,Data Rights,F,F,F,F,F,UR,Unlimited Rights (UR),All uses; no restrictions
DATAR,Data Rights,F,F,F,F,F,GPR,Government Purpose Rights (GPR),For “Government Purposes” only; no commercial use
DATAR,Data Rights,F,F,F,F,F,LR,Limited Rights (LR),Unlimited; except may not be used for manufacture
DATAR,Data Rights,F,F,F,F,F,RR,Restricted Rights (RR),Only one computer at a time; minimum backup copies; modification
DATAR,Data Rights,F,F,F,F,F,NLR,Negotiated License Rights,"As negotiated by the parties; however, must not be less than LR in TD and must not be less than RR in noncommercial CS (consult with legal counsel as other limits apply)"
DATAR,Data Rights,F,F,F,F,F,SBIR,SBIR Data Rights,All uses; no restrictions
DATAR,Data Rights,F,F,F,F,F,COMTD,Commercial TD License Rights,Unlimited in FFF and OMIT; other rights as negotiated.
DATAR,Data Rights,F,F,F,F,F,COMCS,Commercial CS Licenses,As specified in the commercial license customarily offered to the public4
