TagValue_UID,TagValue_Number,TagValue_Service Name,TagNotes_Service Definition,TagNotes_Service Description,TagValue_JCA Alignment,TagNotes_JCSFL Alignment,TagValue_JARM/ESL Alignment,TagNotes_Comments
340,3.2.1.1,Sensor Provisioning,"Sensor Provisioning sends messages to various sensors asking what assignments they can perform, whether a task request is valid, and adding, modifying and canceling tasking requests.","Sensor Provisioning allows clients to query individual sensors for information about appropriate sensor tasking, and to task the sensor.  For each sensor, clients can request and receive metadata documents that describe the actions the sensor can perform, request information needed to prepare assignment requests, and request feedback as to whether a specific assignment request is valid or needs improvement to meet business rules.   In addition, the client can send the sensor an assignment request, update a prior assignment request, cancel a prior assignment request, or request the return of the sensor status, .  Lastly, the client can inquire about where and how the results of the tasking can be accessed.

[This service is supported by the OGC SWE SPS 2.0 service.]",2.1.3 Task and Monitor Resources (P&D),"1.4.17  Determine Time to Sensor Availability
1.4.18  Identify Elapsing Platform and Sensor Tasking",(gap),None
33,3.2.1,Asset Management,"The Asset Management family of services provide sensor collection tasking and status monitoring.  Included are efforts to allocate Enterprise resources, as well as gain insight into the ability to influence external collection assets.","The Asset Management family of services provide sensor collection tasking and status monitoring.  Specific services include:
• Sensor Provisioning - which sends messages to various sensors asking concerning tasking assignments 
• Sensor Registration - which allows clients to request, add, or delete information about sensors and servers     
• Sensor Cross Queuing - which passes detection, Geo-location and targeting information to another sensor. 
• Sensor Command Conversion - which converts sensor requests into sensor specific commands.",family,family,family,family
45,3.2,Collection,The Collection line includes services that provide the ability to gather data and obtain required information to satisfy information needs.,"The Tasking (Planning & Direction) line includes services that provide the ability to gather data and obtain required information to satisfy information needs.  This includes the following sub-areas: Signals Collection – The ability to gather information based on the interception of electromagnetic impulses.  Imagery Collection – The ability to obtain a visual presentation or likeness of any natural or man-made feature, object, or activity at rest or in motion.  Measurements and Signatures Collection – The ability to collect parameters and distinctive characteristics of natural or man-made phenomena, equipment, or objects.  Human Based Collection – The ability to acquire information from human resources, human-derived data, and human reconnaissance assets. (Ref. Joint Service Areas, JCA 2010 Refinement, 8 April 2011)",Line,Line,Line,Line
31,3,Mission Services,The functions/services that represent a mission or business process or function.  When choreographed they represent the manifestation of high level mission capabilities.,Layer,Layer,Layer,Layer,Layer
361,3.5.1.4,Foreign Disclosure Management,"Foreign Disclosure Management services support the  release of classified military information and law enforcement information to foreign entities or governments. Provides the ability to receive, process, release, and monitor requests for information release.
",N/A,6.4.1.1 Assure Access,(gap),6.02.03 Content Delivery Services,None
360,3.5.1.3,Tear Line Reporting,Tear Line services support creation of Tear Lines within products to support dissemination across multiple security domains.,"The Tear Line Reporting service uses security markings and metadata to generate tear lines from existing intelligence reports, to support foreign disclosure and allow important intelligence to be disseminated to a greater audience without risking sensitive information.",6.4.1.1 Assure Access,(gap),6.02.03 Content Delivery Services,Might want to combine with TDF
89,3.5.1.2,Package Product,This service converts the intelligence product into a suitable form for dissemination.,"This service converts the intelligence product into a suitable form for dissemination.  After exploitation is complete and an intelligence product has been created, it must be prepared for dissemination.  This may include converting to a file format suitable for the customer, final security review of the intelligence product to be disseminated, and finding and assigning a globally unique number in preparation for dissemination.  This service would call to the Global Object ID service for assignment of the globally unique number.",2.5.1 BA Data Transmission (IDD),14.1.11 Disseminate Intelligence Products,6.02.03 Content Delivery Services,None
88,3.5.1,Dissemination Management,"Dissemination Management includes authorizing the release/dissemination of products, the assignment of addresses to receive those products, as well as assignment of the transmission path/medium for dissemination of the products.","Dissemination Management includes authorizing the release/dissemination of products, the assignment of addresses to receive those products, as well as assignment of the transmission path/medium for dissemination of the products.  

Currently the one specific service included is Package Product which converts the intelligence product into a suitable form for dissemination.",family,family,family,family
87,3.5,BA Data Dissemination and Relay,"The BA Data Dissemination and Relay line includes services that provide the ability to present, distribute, or make available intelligence, information and environmental content and products that enable understanding of the operational/physical environment to military and national decision-makers.","The BA Data Dissemination and Relay line includes services that provide the ability to present, distribute, or make available intelligence, information and environmental content and products that enable understanding of the operational/physical environment to military and national decision-makers.  This includes the following sub-areas: BA Data Transmission – The ability to send collected data directly to processing, exploitation analysis, production and visualization systems, leveraging both Net-Centric information transport and intelligence-controlled systems.  BA Data Access – The ability to provide authorized customer access to data and products, leveraging both Net-Centric computing infrastructure and intelligence-controlled systems. (Ref. Joint Service Areas, JCA 2010 Refinement, 8 April 2011)
Families in this line: DISSEMINATION MANAGEMENT and MESSAGING SYSTEM INTERFACE.",Line,Line,Line,Line
358,3.4.8.3,Mission Planning and Force Execution support,"This component supports mission planning and force execution analysis to find, fix, track, and target.","The service supports mission planning and force execution analysis to find, fix, track, and target.  
Find: Develop JIPOE, detect target, and determine target conditions
Fix: confirm target, refine target location, and plot movement
Track: maintain situational awareness and maintain track continuity
Target: validate desired effects, finalize target data, and predict consequences",5.2 Understand,"2.2 Combat Identification (CID) (Group)
3.4.5 Maintain Shared Situational Awareness
3.4.8 Manage Prioritization of Defended Asset Information Sets

3.4.11 Translate and Distribute Commander's Intent",(gap),None
357,3.4.8.2,Intelligence Preparation of the Battlefield,Intelligence Preparation of the Battlefield services continuously analyze the threat and environment in an area.,"The Intelligence Preparation of the Battlefield service supports intelligence analysts in satisfying Joint Intelligence Preparation of the Operational Environment (JIPOE) requirements.  This service assists users in:
? Identifying the Operational Area
? Analyzing the Mission and the Commander's Intent
? Determining significant characteristics of the Operational Environment
? Establishing the physical and nonphysical limitations of the force's Area of Interest
? Establishing appropriate level of detail for intelligence analysis
? Identify intelligence and information gaps, shortfalls and priorities
? Submitting requests for information to support further analysis",5.2 Understand,"3.2.1 Display Common Operational Picture (COP)
3.2.2 Display Common Tactical Picture (CTP)
3.5.6 Access Joint Asset Information
3.5.8 Access Unit Readiness and Logistics Reports
3.5.9 Enter, Display, Update, and Monitor Force Status
3.5.10 Present Mission Resources Information
3.5.14 Confirm Asset or Sensor Availability
3.5.16 Identify and Catalog Joint Assets and Activities
14.1.24 Provide Graphical Intelligence Preparation of the Operational Environment (IPOE) Products
14.1.25 Provide Data Assets from Intelligence Preparation of the Operational Environment (IPOE) Products
14.1.26 Conduct Joint Intelligence Preparation of the Operational Environment",(gap),None
356,3.4.8.1,Order of Battle Analysis,"Order of Battle Analysis determines the identification, strength, command structure, and disposition of the personnel, units, and equipment of any military force.","The Order of Battle Analysis service assists users in analyzing intelligence about friendly and opposing forces, and generating intelligence briefs about those forces.",5.2 Understand,"3.4 Situational Awareness (SA) Data Management (Group)
3.4.10 Integrate Information on Potential Adversary Courses of Action (COAs)",(gap),None
204,3.4.8,Analysis Support to C2,This line provides intelligence support for command and control,N/A,family,family,family,family
30,3.4.7.6,Orchestration Modeling,Orchestration Modeling presents an interface for designing the flow of service executions to achieve an overall functional need.,"Orchestration Modeling presents interfaces for designing actual or potential flows of service executions to achieve an overall functional need.   Functionality includes design definition and management.  Resultant models may be stored in orchestration languages such as Business Process Execution Language (BPEL) or Business Process Modeling Notation (BPMN). Business Process Management Language (BPML), or Web Service Choreography Interface (WSCI).     

The most popular of these, BPEL, is made of three main entities: partners that abstractly represent the services Involved, variables used to manipulate exchanged data and hold business logic states, and activities that describe the business logic operations such as invoking a web service or assigning a value to a variable.",6.2.3.8 Enterprise Application Software,(gap),8.18.01 Modeling,Dependency on orchestration
355,3.4.7.5,Target Solution Modeling,Target Solution Modeling models and/or simulates weaponeering and  weapon effects.,N/A,5.2 Understand,(gap),8.18.01 Modeling,None
29,3.4.7.4,Sensor Modeling,Sensor Modeling models and/or simulates ISR platform and sensor access and collection parameters over time.,"Sensor Modeling models and/or simulates ISR platform and sensor access and collection parameters over time.  

Structures of sensor modeling systems typically include Players (the specific sensor being modeled), Markers (those things implicitly represented; e.g., tactical positions and collection domains), Environment (establishes the physical battlespace), and Zones (abstract spaces where the location of sensors or related elements is not an important element of the model).

Events fall into these classes: physical (e.g., start of collection gathering), Information Exchange (e.g., orders, reports, and messages), and Element coordination (place in explicit modeling).

Sensor modeling operations typically might include: Simulation control (stop, pause, and resume simulation), Game state update; Command and Control (C2) decisions; and External events from outside the simulation.

Criteria monitored might include items such as: Sensor maximum services, Sensor schedules, Sensor lifecycle estimates; Maintenance schedules; Intelligence needs assessments; Sensor identity, instance, location, and environment; Visual appearance, Acoustic appearance, Radar signatures, Identified intention, Mission role; Sensor health estimates; Relationship to ground receiving systems; and Probability tables and estimates.

Sensors modeled might include (but aren’t limited to): Class I and IV Unmanned Aerial Vehicles (UAVs), Electro Optical/Infrared Sensors (EO/IR), Synthetic Aperture Radar (SAR) sensors, Moving Target Indicators (MTIs), Aerial Common Sensor (ACS), U-2/TR-1, Global Hawk, Predator, Joint Surveillance Target Attack Radar System (JSTARS), Advanced Tactical Air Reconnaissance System (ATARS),  Prophet,  Airborne Reconnaissance Integrated Electronics Suite, and Unattended Ground Sensors (UGSs).",5.2 Understand,5.3.6  Model and Simulate Mission Scenarios,8.18.01 Modeling,None
354,3.4.7.3,Model Building,The Model Building service supports the ability to build and visualize analytical models,N/A,5.2 Understand,"5.3.9  Model and Simulate Risk Scenarios
5.3.10  Identify Risk using Modeling and Simulation",8.18.01 Modeling,None
353,3.4.7.2,Scenario Generation,The Scenario Generation services provides the ability to build and manage scenarios.,N/A,5.2 Understand,5.3.8   Generate Wargaming Scenarios,8.18.01 Modeling; 8.18.02 Simulation,None
28,3.4.7.1,War Gaming,"War gaming brings together C4ISR, and Synthetic Natural Environments (SNE) and the Common Operating Picture (COP) to support course of action analysis, mission planning and rehearsal, and individual and collective training.","War gaming models and/or simulate ISR services and collection parameters over time while allowing for analysis of the technical feasibility of the mission with respect to weather, terrain, battlefield conditions, order of battle, and threat characteristics through the use of expanded, robust Joint ISR resource management tools adapted to net-centric operations and transformational communications  (Ref. DCGS Integrated Roadmap (2005–2018) Version 1.2; 3 January 2005 (section 5))
Objective war gaming operations include the ability to monitor, locate, identify, and represent military units and assets (Army, Navy, Marines, Air Force, and Special Operational Forces) as missions and sorties occur, build and maintain operational surface picture in an Area Of Interest (AOI);  develop and present threat conceptual models, services data, force structure and tactics; account for intelligence sensors, systems, processes, and organizations; re-use prior war game data and models; provide algorithms for the interaction of ‘Red’ (enemy force),  ‘Blue’ (friendly force), and non-combatant behaviors; maintain evolving threats catalog(s); maintain validated parameter and performance data; integrate decision making process including the impact of rules of engagement (ROE); provides realistic deterministic fusion methodology (versus simple stochastic replications); render “3D” views; present real time (or near real time) statistics; inject actual or potential weather effects; and accommodate Concepts of Operation (CONOPS) and other related threat policy and guidance.",2.4.4 Prediction (AP),"4.6.3  Predict Situation Effects
4.6.19  Predict Collateral Damage
4.6.21  Calculate Probability of Engagement Effectiveness
4.6.23  Analyze Force Vulnerability
4.6.27  Determine Time to Complete the Mission
5.3.6  Model and Simulate Mission Scenarios
5.3.8   Generate Wargaming Scenarios
5.3.9  Model and Simulate Risk Scenarios
5.3.10  Identify Risk using Modeling and Simulation",8.18.01 Modeling; 8.18.02 Simulation,None
27,3.4.7,Modeling and Simulation,The Modeling and Simulation family of services uses representative realities to assess current or possible future conditions in assess area of interest including DI2E ISR platforms and sensors.,Modeling and Simulation uses representative realities to assess current or possible future conditions in assess area of interest including DI2E ISR platforms and sensors.,family,family,family,family
365,3.4.6.5,Link Analysis,"Link analysis is a data-analysis technique used to evaluate relationships (connections) between entities. Relationships may be identified among various types of objects, including organizations, people and transactions.",N/A,5.2 Understand,(gap),7.04.08 Link Analysis Services,None
352,3.4.6.4,Alternative Future Analysis,"Alternative Future Analysis supports postulating possible, probable, and preferable futures through a  systematic and pattern-based understanding of past and present, and to determine the likelihood of future events and trends.",N/A,2.4.4 Prediction (AP),(gap),(gap),None
351,3.4.6.3,Argument Mapping,"Argument Mapping is the visual representation of the structure of an argument in informal logic. It includes the components of an argument such as a main contention, premises, co-premises, objections, rebuttals, and lemmas.","Argument Mapping is the visual representation of the structure of an argument in informal logic. It includes the components of an argument such as a main contention, premises, co-premises, objections, rebuttals, and lemmas. Typically an argument map is a “box and arrow” diagram with boxes corresponding to propositions and arrows corresponding to relationships such as evidential support. Argument mapping is often designed to support deliberation over issues, ideas and arguments",2.4.3 Interpretation (AP),(gap),(gap),None
349,3.4.6.1,Timelines Analysis,Timeline Analysis helps analysts determine relationships of events over time.,N/A,2.4.3 Interpretation (AP),(gap),(gap),None
24,3.4.6,Analytic Decision Support,"The Analytic Decision Support Services family provides advanced analytic analysis and presentation to help analysts uncover, determine, or predict otherwise complex relationships among various DI2E entities.","The Analytic Decision Support family provides advanced analytic analysis and presentation to help analysts uncover, determine, or predict otherwise complex relationships among various DI2E entities.    Services include the answering multi-dimensional analytical queries (online analytical processing).",family,family,family,family
370,3.4.5.3,Digital Production,"Digital Production provides authoring, mark-up, dissemination, document control, geospatially visualized, geo-smart, GeoPDF functions.",N/A,2.4.5 Product Generation (AP),(gap),(gap),None
369,3.4.5.2,Production Workflow,"Production Workflow provides the necessary management for the creation of new products, guiding the product status through various levels of approval.",N/A,2.4.5 Product Generation (AP),(gap),(gap),None
368,3.4.5.1,Reporting Services,"Reporting services allow for the creation, editing, and approval of new reports.",N/A,2.4.5 Product Generation (AP),(gap),(gap),None
348,3.4.5,Production,"The Production family of services to support production, to include Reporting Services, Production Workflow, and Digital Production.",N/A,family,family,family,family
80,3.4.4,MASINT/AGI Analysis,"Measurement and Signature Intelligence/Advanced Geospatial Intelligence (MASINT/AGI) Analysis services provide intelligence derived from many different sources and sensors to identify the specific characteristics of a target and enables it to be located and tracked.   
Note: The family of MASINT services is very broad and many are sensitive or classified.   The single example provided below may be supplemented after engagement with the DI2E MASINT Functional Team.","Measurement and Signature Intelligence/Advanced Geospatial Intelligence (MASINT/AGI) Analysis services provide intelligence derived from many different sources and sensors to identify the specific characteristics of a target and enables it to be located and tracked.   
Note: The family of MASINT services is very broad and many are sensitive or classified.     Other (unclassified) MASINT examples include:
  • SAR Coherent Change Detection (CCD)
  • differential interferometric SAR (DInSAR)
  • EO polarimetry
  • SAR polarimetry
Thus the single COMINT Externals Analysis example provided below may be supplemented with additional services after discussions are held with the DI2E MASINT Functional Team.",family,family,family,family
75,3.4.2.4,COMINT Externals Analysis,COMINT Externals Analysis analyzes patterns of communications metadata.,"COMINT Externals Analysis provides link analysis functionality for the specific application of highlighting patterns of communications activity.   The analysis is based solely on communications metadata (origination and destination node IDs, cell phone IDs, phone numbers, packet lengths, etc.) and not communication content (digitized voice, text messages, etc.).

To do this, COMINT Externals Analysis first ingests communication metadata and, if needed, strips off associated message content.  The resultant metadata entities are then linked to each other, as well as other entities.  Message transmission structures may also be analyzed for such things as statistics showing how often packets with one specific format are immediately followed by packets with a second specified format.  

Analyzing the structure of analog communications signals is possible, but digital analysis is increasingly more common.",2.4.3 Interpretation (AP),"8.2.26 Configure Communications and Security Devices
8.12.4 Allocate and Manage Collaboration Communications",8.16.05 Signals Analysis,None
74,3.4.2.3,Emitter Geolocation,Emitter Geolocation Analysis & Location Refinement determines the likely position of an emitter source from emitter intercept data.,"Emitter Geolocation takes correlated emitter intercepts collected by one or more platforms and computes the likely emitter geolocation, geolocation error ellipse, and (if the emitter is in motion) an estimate of the emitter's velocity.

Intercepts may contain signal frequency and/or time of arrival information, intercept angle of arrival (AOA) , ID and ""collection instant geolocation"" of the platform(s) that generated the intercept reports, associated pointing/position uncertainties characterizing the collection systems involved, and/or previously computed emitter geolocation along with the geolocation error ellipse and target velocity vector.

Example analytic methods include: 1) triangulation using AOA data, 2) time difference of arrival (TDOA),  3) frequency difference of arrival (FDOA), or 4) some combination of the first three methods.",2.4.3 Interpretation (AP),(gap),8.16.05 Signals Analysis,None
73,3.4.2.2,Emitter Correlation,Emitter Correlation correlates multiple intercepts to the same signal emitting entity.,"The service ingests emitter intercept signal characterizations and identifies which signal intercepts come from the same emitter by identifying signals whose extracted features sufficiently match.    The output is a list of which of the ingested signals (or signal pulse sequences) come from each separate emitter source, along with the associated times of the signal intercepts.

There are two ways in which this service can be used:  (1) Supporting multi-platform emitter geolocation analysis over short period using a pulse-by-pulse basis and (2) correlating signals collected over a more prolonged time interval using signal intercepts from several distinct emitters to analyze sequences of pulses for matching signal characteristics.

Emitter Correlation is in some ways the converse of the ELINT de-duplication service (see 2.3.2 SIGINT Processing services).",2.3.2 Information Categorization (PE),"1.1.7  Register Electromagnetic Signals
3.2.32 Mensurate Object Coordinates",8.16.05 Signals Analysis,None
72,3.4.2.1,SIGINT Analysis and Reporting,SIGINT Analysis and Reporting generates various reports from raw SIGINT data.,"SIGINT Analysis and Reporting generates selected types of SIGINT reports from ingested SIGINT intercept data.   Three examples of the types of reports produced include: 

1)  A report on the full Electronic Order of Battle (EOB) of an adversary within a specified region.   The report might name the identified emitters along with a description of the function/services of the overall system they are associated with.  The report might also attempt to identify specific military units based on the identified emitters.

2)  A report on the locations of all surface-to-air defense systems in a specified region.  The report would list the services, the mobility potential, and the known vulnerabilities or limitations of each air defense unit identified.

3)  A report on the signal properties and service implications of unknown emitters detected in a specified region.   Such a report might note the presence of an unidentified chirped pulse emitter and, based on the chirp bandwidth, pulse repetition intervals, and scan rates suggest that the emitter is part of an upgraded surface-to-air defense system.",2.4.5 Product Generation (AP),"1.1.20  Perform Signal Parametric Analysis
1.1.13  Process Acoustic Sensor Data
14.1.16 Disseminate High Priority Tactical Signals Intelligence (SIGINT) Report
14.1.16  Disseminate High Priority Tactical Signals Intelligence (SIGINT) Report
14.1.28  Disseminate Tactical Signals Intelligence (SIGINT) Report",8.16.05 Signals Analysis,"Terry (SIGINT FT, terence.a.wynne@lmco.com, 301-543-5441. ) proposed to drop the “SIGINT Analysis & Reporting” service, and to add 2 new ones: Specific Emitter Identifier (see Terry or Mark P. for more details), and Purge/Surge (or Enterprise Data Header) ? that should go under Records Mgmt…for more details, contact Melissa Bodman. - Julie Jamieson, August 8th, 2011"
71,3.4.2,SIGINT Analysis,"SIGINT Analysis services provide various forms of signals intelligence (SIGINT) varying from recurring, serialized reports to instantaneous periodic reports.","The SIGINT Analysis family of services support Electronic Intelligence (ELINT), Communications Intelligence (COMINT), and Foreign Instrumentation Signals Intelligence (FISINT).  
 • ELINT is the interception, geolocation, and analysis of electronic emissions produced by adversary equipment that intentionally transmits for non-communications purposes.  Most notably this includes radars but sometimes also includes other types of weaponry and equipment.   The purposes of ELINT are to: ascertain services and limitations of target emitters, geolocate target emitters, and determine the current state of readiness of target emitters.
  • COMINT is the interception, geolocation, and decryption of either voice or electronic text transmissions. Included within COMINT analysis is communications traffic analysis.  
Specific SIGINT Analysis services include:
  • SIGINT Analysis and Reporting - which generates various reports from raw SIGINT data. 
  • Emitter Correlation - which correlates multiple intercepts to the same signal emitting entity. 
  • Signal Pattern Recognition - which provides signal pattern recognition in order to detect signal characteristics that tell analysts information about the emitting source.",family,family,family,family
366,3.4.1.11,GEO-Calculations,"Geo-Calculations provide the ability to perform geospatially based calculations on data stored within the enterprise to further enrich the operator’s understanding of the data relationships.
","Users have the need to perform calculations and analytics on the geospatial within the enterprise.  Example analytics include geo-location lookups, distance calculations between two entities, coordinate conversions, and entity lookup.
",2.4.5 Product Generation (AP),"3.4.3 Receive, Store and Maintain Geospatial Product Information
14.1.2 Produce Imagery Intelligence (IMINT) Data",7.04.06 Imagery Analysis Services,None
62,3.4.1.10,Sensor Model Instantiation,Sensor Model Instantiation generates sensor model state data from image metadata. ,"Sensor Model Instantiation determines a sensor model type and state data given raw image metadata.  

As an example, consider SAR and pushbroom EO sensor models ((pushbroom scanners deliver a perspective image with highly correlated 
exterior orientation parameters for each image line).   The SAR sensor model might require specification of collection squint and grazing angles.  However, the raw collection taken from the EO sensor may only provide metadata on the sensor collection trajectory and the specified image center.  The Sensor Model Instantiation service can use this raw EO sensor metadata to calculate collection squint and grazing angles as used by the SAR sensor model.  In other simpler cases, the service may simply transfer raw collection metadata values directly into matching sensor model parameter fields.

Resulting sensor model state data can be used with associated sensor functions such as image-to-ground and ground-to-image transformations and will support (but not provide) other GEOINT services such as Image Registration, DPPDB Mensuration, Triangulation, Source Selection, Resection, Rectification, and Geomensuration (see definitions in related 2.4.1 GEOINT Exploitation services).",2.4.3 Interpretation (AP),"3.2.36  Generate Coordinates
3.2.32 Mensurate Object Coordinates
3.4.3 Receive, Store and Maintain Geospatial Product Information",7.04.06 Imagery Analysis Services,None
70,3.4.1.9,Automatic Target Recognition," Automatic Target Recognition identifies specified entities on an image using image processing techniques. 
","Automatic Target Recognition services process imagery to identify candidate specified 'targets' that match selected pixel 'signature patterns'.    

Examples of 'targets' might be a tank even if partially covered or camouflaged an aircrafts located on runways.

Artifact formats, targets, and analytic methods vary, but one example is an ATR service that ingests hyperspectral imagery (HSI) in the near IR (NIR), short wave IR (SWIR) bands, and target signature definitions and returns image coordinates where signatures are found along with nature of each candidate 'target'.   To do this it might perform anomaly detection through orthogonal subspace projection (considering each HSI pixel a vector in a multidimensional space, determining dominant spectral signatures by running a pixel clustering algorithm, creating a subspace projection operator matrix, and projecting the pixel's signature into a spectral subspace that does not contain the identified clutter signature components).",2.4.2 Evaluation (AP),"3.4.3 Receive, Store and Maintain Geospatial Product Information
14.1.2 Produce Imagery Intelligence (IMINT) Data
14.1.21  Extract Automated Features",7.04.06 Imagery Analysis Services,None
69,3.4.1.8,Topographical Survey,"Topographical Survey derives and represents elevation and terrain characteristics from reports and data.
","Topographical Survey generates maps based on a variety of terrain, elevation, and feature data.  One example is creating a 2D contour line map with vector graphics indicating features such as rivers, communication lines, and known roads.
",2.4.5 Product Generation (AP),"3.4.3 Receive, Store and Maintain Geospatial Product Information
14.1.2 Produce Imagery Intelligence (IMINT) Data",7.04.06 Imagery Analysis Services,None
68,3.4.1.7,MTI Tracking,"Moving Target Indicator (MTI) Tracking links 'dots' of point locations into tracks that indicate historical & projected direction and speed.
","Moving Target Indicator (MTI) Tracking ingests and tags a sequence of point locations (""dots"") of moving objects indicating their speed, direction, range, azimuth location (an angular measurement in a spherical coordinate system), and time stamp.    Dots from raw MTI sources are then linked into track segments which last until either a moving object stops, and thus disappears from the MTI sensor data stream or until an occlusion or sharp change of speed, or some other confounding event causes the service to ""break track"".     

Dots may also have additional attributes such as a one dimensional range profile, shape and/or intensity descriptor.
",2.4.4 Prediction (AP),"2.1.1  Form Tracks
2.1.33  Provide Tracking Services
3.4.20 Maintain Track Management Information
3.4.21 Display Tracks",7.04.06 Imagery Analysis Services,None
